record_id,system_name,system_type,state_or_region,latitude,longitude,coordinate_status,ecological_region,annual_rainfall_mm_est,soil_type,water_harvesting_principle,cultural_environmental_reason,primary_purpose,advantages,current_condition,maintenance_model,revival_efforts,government_initiatives,groundwater_recharge_potential,water_storage_type,community_management,climate_resilience_score,sustainability_score,data_source_type,contributor,image_url,contextual_details,source_reference,cluster,cluster_name
IWMS034,Tanka - representative site 34,Tanka,Rajasthan,26.2698,72.91554,Representative regional coordinate - VERIFY before publication,Arid,282,Sandy/loamy,Roof/courtyard runoff stored in underground tank,scarce rainfall; potable-water security,Drinking water / household storage,low evaporation; household storage; dry-season supply,Needs restoration,Heritage/site management,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Low,Surface,Low,63.4,51.8,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,0,Cluster 0 - Low Rainfall
IWMS035,Kund - representative site 35,Kund,Rajasthan,26.18989,72.90467,Representative regional coordinate - VERIFY before publication,Arid,449,Sandy/loamy,Catchment runoff directed into lined storage depression,desert settlements; rainfall scarcity,Drinking water / storage,protected storage; efficient collection,Unknown,Local body/department,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",High,Groundwater-linked,Moderate,94.0,76.6,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,0,Cluster 0 - Low Rainfall
IWMS036,Nadi - representative site 36,Nadi,Rajasthan,26.32459,73.09154,Representative regional coordinate - VERIFY before publication,Arid,256,Sandy/loamy,Village depression/pond stores seasonal runoff,livestock and village water needs,Livestock / community water,simple storage; recharge; multiple uses,Needs restoration,Unknown,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Low,Groundwater-linked,Low,61.4,50.6,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,0,Cluster 0 - Low Rainfall
IWMS037,Jhalara - representative site 37,Jhalara,Rajasthan,26.29831,72.97181,Representative regional coordinate - VERIFY before publication,Arid/Semi-arid,419,Sandy/loamy,Stepped masonry reservoir provides access to stored water/groundwater,community and cultural use in dry climate,Community water / cultural use,water access; shade; durable masonry,Partially functional,Local body/department,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Moderate,Channel/diversion,Low,67.2,70.0,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,0,Cluster 0 - Low Rainfall
IWMS038,Baoli/Baori - representative site 38,Baoli/Baori,Rajasthan,26.32088,72.93462,Representative regional coordinate - VERIFY before publication,Arid/Semi-arid,412,Sandy/loamy,Stepped well provides access to deep water,hot climate; settlement water supply,Drinking water / community use,storage/access; cooling; community use,Partially functional,Unknown,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",High,Surface,Low,69.0,72.9,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,0,Cluster 0 - Low Rainfall
IWMS039,Ahar-Pyne - representative site 39,Ahar-Pyne,Bihar,24.75226,85.04308,Representative regional coordinate - VERIFY before publication,Sub-humid monsoon,1174,Alluvial,Pynes divert floodwater into ahar storage basins and fields,seasonal floods and agriculture in South Bihar,Irrigation / floodwater management,flood management; irrigation; silt deposition,Functional,Community-managed,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Moderate,Underground,Moderate,78.2,79.5,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,5,Cluster 5 - High Rainfall
IWMS040,Kuhl - representative site 40,Kuhl,Himachal Pradesh,31.86605,77.03918,Representative regional coordinate - VERIFY before publication,Mountain,1510,Mountain/alluvial,Gravity channel diverts stream/snowmelt water to fields,mountain terrain; seasonal flows,Irrigation,gravity irrigation; low energy,Needs restoration,Heritage/site management,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Moderate,Integrated,High,70.4,56.7,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,7,Cluster 7 - Moderate Rainfall
IWMS041,Apatani - representative site 41,Apatani,Arunachal Pradesh,27.56838,93.76113,Representative regional coordinate - VERIFY before publication,Humid mountain,2225,Mountain/lateritic,Terraced fields regulate/reuse stream water for integrated agriculture,high rainfall; valley agriculture,Integrated agriculture,water efficiency; erosion control; integrated farming,Functional,Local body/department,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Moderate,Surface,Low,79.9,73.4,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,2,Cluster 2 - Very High Rainfall
IWMS042,Zabo - representative site 42,Zabo,Nagaland,25.70921,94.02991,Representative regional coordinate - VERIFY before publication,Humid mountain,2421,Mountain/lateritic,Runoff from forested hills collected and routed through ponds/fields,high rainfall; steep terrain; integrated farming,Agriculture / livestock,multi-use water; erosion control; reuse,Needs restoration,Unknown,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Moderate,Underground,Moderate,62.7,55.4,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,2,Cluster 2 - Very High Rainfall
IWMS043,Bamboo Drip Irrigation - representative site 43,Bamboo Drip Irrigation,Meghalaya,25.61958,91.86099,Representative regional coordinate - VERIFY before publication,Humid mountain,2266,Mountain/lateritic,Bamboo channels convey small controlled flows from springs/streams,steep terrain; smallholder agriculture,Smallholder irrigation,low-cost; gravity-fed; precise delivery,Needs restoration,Unknown,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Low,Surface,Low,66.5,47.6,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,2,Cluster 2 - Very High Rainfall
IWMS044,Kere - representative site 44,Kere,Karnataka,15.30317,75.7292,Representative regional coordinate - VERIFY before publication,Semi-arid/Monsoon,814,Red/black/alluvial,Village tank stores runoff for irrigation and recharge,seasonal rainfall; agriculture,Irrigation / recharge,storage; recharge; flood moderation,Unknown,Unknown,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Moderate,Integrated,Unknown,86.7,64.9,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,1,Cluster 1 - Moderate Rainfall
IWMS045,Kalyani - representative site 45,Kalyani,Karnataka,15.43036,75.76663,Representative regional coordinate - VERIFY before publication,Semi-arid/Monsoon,693,Red/black/alluvial,Masonry temple tank stores rain/runoff and interacts with groundwater,temple/community use; seasonal water,Community/cultural water,storage; cultural use; recharge,Needs restoration,Community-managed,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Moderate,Groundwater-linked,Low,64.0,61.3,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,1,Cluster 1 - Moderate Rainfall
IWMS046,Katta - representative site 46,Katta,Karnataka,15.24779,75.59586,Representative regional coordinate - VERIFY before publication,Semi-arid/Monsoon,775,Red/black/alluvial,Small check dam slows and stores stream/runoff,seasonal streams; agriculture,Irrigation / recharge,recharge; irrigation; low cost,Functional,Unknown,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Moderate,Integrated,Moderate,83.7,74.0,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,1,Cluster 1 - Moderate Rainfall
IWMS047,Eri - representative site 47,Eri,Tamil Nadu,11.10215,78.63592,Representative regional coordinate - VERIFY before publication,Semi-arid/Monsoon,725,Red/black/alluvial,Interconnected tank network stores monsoon runoff and releases it for irrigation,seasonal monsoon; agriculture,Irrigation / recharge,storage; recharge; flood moderation,Functional,Community-managed,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",High,Groundwater-linked,Moderate,87.2,87.1,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,1,Cluster 1 - Moderate Rainfall
IWMS048,Oorani - representative site 48,Oorani,Tamil Nadu,11.17702,78.65149,Representative regional coordinate - VERIFY before publication,Semi-arid/Monsoon,935,Red/black/alluvial,Village pond collects and stores rainwater,drinking/community water needs,Drinking water / community use,local storage; recharge,Functional,Unknown,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Low,Channel/diversion,Low,93.0,60.1,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,1,Cluster 1 - Moderate Rainfall
IWMS049,Surangam - representative site 49,Surangam,Kerala,10.94394,76.29704,Representative regional coordinate - VERIFY before publication,Humid lateritic,2833,Lateritic,Horizontal groundwater tunnel drains water by gravity,lateritic hills; spring/groundwater access,Domestic water / irrigation,gravity supply; low evaporation; low energy,Unknown,Local body/department,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Moderate,Channel/diversion,Unknown,65.4,65.7,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,3,Cluster 3 - Very High Rainfall
IWMS050,Korambu - representative site 50,Korambu,Kerala,10.78934,76.30304,Representative regional coordinate - VERIFY before publication,Humid monsoon,2867,Lateritic/alluvial,Temporary river-bank barrier diverts water toward fields,seasonal river flow; paddy farming,Paddy irrigation,low-cost diversion; irrigation,Partially functional,Heritage/site management,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Moderate,Underground,Moderate,65.9,65.5,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,3,Cluster 3 - Very High Rainfall
IWMS051,Phad - representative site 51,Phad,Maharashtra,19.70673,75.71964,Representative regional coordinate - VERIFY before publication,Semi-arid/Monsoon,720,Red/black/alluvial,Diversion weir and channel network distributes river water to farm blocks,seasonal rivers; community irrigation,Irrigation,gravity irrigation; shared allocation,Partially functional,Unknown,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Low,Groundwater-linked,High,71.6,58.1,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,6,Cluster 6 - Moderate Rainfall
IWMS052,Bhandara - representative site 52,Bhandara,Maharashtra,19.70941,75.70182,Representative regional coordinate - VERIFY before publication,Semi-arid/Monsoon,681,Red/black/alluvial,Low diversion structure raises/diverts river water,seasonal river flows; agriculture,Irrigation,simple diversion; gravity irrigation,Unknown,Unknown,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Low,Integrated,High,89.3,57.1,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,6,Cluster 6 - Moderate Rainfall
IWMS053,Ramtek Model - representative site 53,Ramtek Model,Maharashtra,19.81374,75.68129,Representative regional coordinate - VERIFY before publication,Semi-arid/Monsoon,653,Red/black/alluvial,Tank cascade/catchment management stores and transfers runoff,monsoon variability; agriculture,Irrigation / recharge,storage cascade; recharge; runoff control,Needs restoration,Unknown,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Moderate,Channel/diversion,Moderate,74.5,61.7,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,6,Cluster 6 - Moderate Rainfall
IWMS054,Pat System - representative site 54,Pat System,Madhya Pradesh,23.2055,77.40655,Representative regional coordinate - VERIFY before publication,Semi-arid/Monsoon,849,Red/black/alluvial,Small diversion structures route streamwater through channels to fields,hilly terrain; seasonal streams,Irrigation,gravity irrigation; low energy,Unknown,Local body/department,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Moderate,Groundwater-linked,High,91.3,66.8,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,6,Cluster 6 - Moderate Rainfall
IWMS055,Chandela/Bundela Tank - representative site 55,Chandela/Bundela Tank,Madhya Pradesh,23.28205,77.44912,Representative regional coordinate - VERIFY before publication,Semi-arid/Monsoon,692,Red/black/alluvial,Large historic tanks capture monsoon runoff,Bundelkhand seasonality and agriculture,Irrigation / community water,storage; recharge; drought buffering,Unknown,Local body/department,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",High,Groundwater-linked,High,65.4,75.9,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,6,Cluster 6 - Moderate Rainfall
IWMS056,Virda - representative site 56,Virda,Gujarat,22.21856,71.17913,Representative regional coordinate - VERIFY before publication,Arid/coastal,472,Sandy/saline,Freshwater lenses in sandy terrain are accessed through shallow pits,Kutch water scarcity and saline surroundings,Drinking water,local freshwater access; simple construction,Needs restoration,Unknown,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Moderate,Surface,Unknown,55.8,54.5,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,0,Cluster 0 - Low Rainfall
IWMS057,Karez - representative site 57,Karez,Rajasthan,26.25946,73.11998,Representative regional coordinate - VERIFY before publication,Arid,339,Sandy/loamy,Underground gallery conveys groundwater by gravity,arid climate; evaporation reduction,Domestic water / irrigation,gravity supply; low evaporation,Functional,Community-managed,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Low,Groundwater-linked,Moderate,88.6,67.6,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,0,Cluster 0 - Low Rainfall
IWMS058,Zing - representative site 58,Zing,Ladakh,34.17912,77.51725,Representative regional coordinate - VERIFY before publication,Cold arid,140,Sandy/gravelly,Small storage collects seasonal glacial/snowmelt water,cold-arid agriculture dependent on meltwater,Agriculture / settlement water,seasonal storage; gravity distribution,Functional,Local body/department,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",High,Underground,Low,61.7,83.3,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,7,Cluster 7 - Moderate Rainfall
IWMS059,Cheruvu - representative site 59,Cheruvu,Telangana/Andhra Pradesh,16.52574,80.7095,Representative regional coordinate - VERIFY before publication,Semi-arid/Monsoon,708,Red/black/alluvial,Village tank stores runoff for irrigation/recharge,seasonal rainfall; agriculture,Irrigation / recharge,storage; recharge; flood moderation,Needs restoration,Community-managed,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Low,Underground,Unknown,70.9,47.9,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,1,Cluster 1 - Moderate Rainfall
IWMS060,Jackwell - representative site 60,Jackwell,Andaman & Nicobar,11.7216,92.63824,Representative regional coordinate - VERIFY before publication,Humid tropical,3207,Alluvial/lateritic,Tree/canopy runoff collected and conveyed to pits/wells,island settlements; heavy rainfall,Local water supply,simple collection; local supply,Partially functional,Community-managed,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",High,Underground,High,86.8,77.4,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,4,Cluster 4 - Very High Rainfall
IWMS061,Stepwell - representative site 61,Stepwell,Rajasthan,26.26582,72.88986,Representative regional coordinate - VERIFY before publication,Semi-arid,722,Sandy/loamy,Groundwater access via deep stepped masonry; rainwater infiltration/storage,"community water supply, shade, social/religious use",Drinking water / community use,water access; passive cooling; durable structure,Needs restoration,Community-managed,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Moderate,Underground,High,89.0,57.6,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,0,Cluster 0 - Low Rainfall
IWMS062,Johad - representative site 62,Johad,Rajasthan,26.32736,72.90533,Representative regional coordinate - VERIFY before publication,Arid/Semi-arid,585,Sandy/loamy,Earthen check dam captures monsoon runoff and promotes aquifer recharge,seasonal rainfall; livestock; agriculture; community water security,Groundwater recharge / livestock / agriculture,low cost; recharge; soil moisture; drought resilience,Unknown,Local body/department,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",High,Integrated,Low,79.6,70.7,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,0,Cluster 0 - Low Rainfall
IWMS063,Khadin - representative site 63,Khadin,Rajasthan,26.35071,73.06591,Representative regional coordinate - VERIFY before publication,Arid,369,Sandy/loamy,Earthen bund retains runoff on agricultural land and conserves soil moisture,very low rainfall; dryland farming,Dryland agriculture,runoff harvesting; crop moisture; no pumping required,Needs restoration,Heritage/site management,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Moderate,Surface,Low,90.3,61.7,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,0,Cluster 0 - Low Rainfall
IWMS064,Tanka - representative site 64,Tanka,Rajasthan,26.18853,72.99153,Representative regional coordinate - VERIFY before publication,Arid,406,Sandy/loamy,Roof/courtyard runoff stored in underground tank,scarce rainfall; potable-water security,Drinking water / household storage,low evaporation; household storage; dry-season supply,Unknown,Heritage/site management,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",High,Underground,Moderate,74.5,65.8,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,0,Cluster 0 - Low Rainfall
IWMS065,Kund - representative site 65,Kund,Rajasthan,26.21516,72.942,Representative regional coordinate - VERIFY before publication,Arid,321,Sandy/loamy,Catchment runoff directed into lined storage depression,desert settlements; rainfall scarcity,Drinking water / storage,protected storage; efficient collection,Needs restoration,Community-managed,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",High,Groundwater-linked,High,64.7,66.4,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,0,Cluster 0 - Low Rainfall
IWMS066,Nadi - representative site 66,Nadi,Rajasthan,26.22754,73.01324,Representative regional coordinate - VERIFY before publication,Arid,311,Sandy/loamy,Village depression/pond stores seasonal runoff,livestock and village water needs,Livestock / community water,simple storage; recharge; multiple uses,Unknown,Unknown,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",High,Surface,High,66.8,70.9,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,0,Cluster 0 - Low Rainfall
